N	M	Half2NM	negM	negM2	Size	BASISINDEX	NonBN	NonBM	NonBHalf2NM	NonBnegM	NONBASISIND
Index N	Index M	value (2N+M)/2	value -M	value -M	Hex Intensities	Used MN	Non-basis N	Non-basis M	Non-Basis (2N+M)/2	Non-Basis -M	Non-basis NM
6	4	8	-4	-4	0.97269	6,4	7	0	7	0	7,0
9	1	9.5	-1	-1	0.99198	9,1	6	1	6.5	-1	6,1
8	3	9.5	-3	-3	0.97118	8,3	6	2	7	-2	6,2
6	5	8.5	-5	-5	0.5749	6,5	5	3	6.5	-3	5,3
7	3	8.5	-3	-3	0.65276	7,3	5	4	7	-4	5,4
7	5	9.5	-5	-5	0.76919	7,5	8	0	8	0	8,0
8	1	8.5	-1	-1	0.75768	8,1	7	2	8	-2	7,2
10	2	11	-2	-2	0.91083	10,2	10	0	10	0	10,0
9	4	11	-4	-4	0.90784	9,4	11	0	11	0	11,0
8	4	10	-4	-4	0.58795	8,4	11	1	11.5	-1	11,1
7	6	10	-6	-6	0.76599	7,6	13	0	13	0	13,0
9	2	10	-2	-2	0.67275	9,2	14	0	14	0	14,0
12	1	12.5	-1	-1	1	12,1	13	2	14	-2	13,2
8	6	11	-6	-6	0.86852	8,6	12	4	14	-4	12,4
11	3	12.5	-3	-3	0.9596	11,3	10	8	14	-8	10,8
9	5	11.5	-5	-5	0.95999	9,5	14	1	14.5	-1	14,1
10	3	11.5	-3	-3	0.98659	10,3	13	3	14.5	-3	13,3
10	5	12.5	-5	-5	0.98793	10,5	12	5	14.5	-5	12,5
8	7	11.5	-7	-7	0.86756	8,7	11	7	14.5	-7	11,7
9	7	12.5	-7	-7	1	9,7	10	9	14.5	-9	10,9
11	4	13	-4	-4	0.87374	11,4	16	0	16	0	16,0
12	2	13	-2	-2	0.98556	12,2	15	1	15.5	-1	15,1
10	6	13	-6	-6	0.97478	10,6	15	2	16	-2	15,2
11	6	14	-6	-6	1	11,6	14	3	15.5	-3	14,3
9	8	13	-8	-8	1	9,8	14	4	16	-4	14,4
							13	5	15.5	-5	13,5
							13	6	16	-6	13,6
							12	7	15.5	-7	12,7
							12	8	16	-8	12,8
							11	9	15.5	-9	11,9
							11	10	16	-10	11,10
